id,matchday,date,home,away,fhg,fag
267,27,2025-02-26,TOT,MCI,0,1
268,27,2025-02-26,LIV,NEW,2,0
269,27,2025-02-26,MUN,IPS,3,2
270,27,2025-02-27,WHU,LEI,2,0
271,28,2025-03-08,BRE,AVL,0,1
272,28,2025-03-08,BHA,FUL,2,1
273,28,2025-03-08,CRY,IPS,1,0
274,28,2025-03-08,LIV,SOU,3,1
275,28,2025-03-08,NFO,MCI,1,0
276,28,2025-03-08,WOL,EVE,1,1
277,28,2025-03-09,CHE,LEI,1,0
278,28,2025-03-09,MUN,ARS,1,1
279,28,2025-03-09,TOT,BOU,2,2
280,28,2025-03-10,WHU,NEW,0,1
281,29,2025-03-15,BOU,BRE,1,2
282,29,2025-03-15,EVE,WHU,1,1
283,29,2025-03-15,IPS,NFO,2,4
284,29,2025-03-15,MCI,BHA,2,2
285,29,2025-03-15,SOU,WOL,1,2
286,29,2025-03-16,ARS,CHE,1,0
287,29,2025-03-16,FUL,TOT,2,0
288,29,2025-03-16,LEI,MUN,0,3
289,30,2025-04-01,ARS,FUL,2,1
290,30,2025-04-01,NFO,MUN,1,0
291,30,2025-04-01,WOL,WHU,1,0
292,30,2025-04-02,BOU,IPS,1,2
293,30,2025-04-02,BHA,AVL,0,3
294,30,2025-04-02,MCI,LEI,2,0
295,30,2025-04-02,NEW,BRE,2,1
296,30,2025-04-02,SOU,CRY,1,1
297,30,2025-04-02,LIV,EVE,1,0
298,30,2025-04-03,CHE,TOT,1,0
299,31,2025-04-05,AVL,NFO,2,1
300,31,2025-04-05,CRY,BHA,2,1
301,31,2025-04-05,EVE,ARS,1,1
302,31,2025-04-05,IPS,WOL,1,2
303,31,2025-04-05,WHU,BOU,2,2
304,31,2025-04-06,BRE,CHE,0,0
305,31,2025-04-06,FUL,LIV,3,2
306,31,2025-04-06,MUN,MCI,0,0
307,31,2025-04-06,TOT,SOU,3,1
308,31,2025-04-07,LEI,NEW,0,3
309,32,2025-04-12,ARS,BRE,1,1
310,32,2025-04-12,BHA,LEI,2,2
311,32,2025-04-12,MCI,CRY,5,2
312,32,2025-04-12,NFO,EVE,0,1
313,32,2025-04-12,SOU,AVL,0,3
314,32,2025-04-13,CHE,IPS,2,2
315,32,2025-04-13,LIV,WHU,2,1
316,32,2025-04-13,NEW,MUN,4,1
317,32,2025-04-13,WOL,TOT,4,2
318,32,2025-04-14,BOU,FUL,1,0
319,29,2025-04-16,NEW,CRY,5,0
320,33,2025-04-19,AVL,NEW,4,1
321,33,2025-04-19,BRE,BHA,4,2
322,33,2025-04-19,CRY,BOU,0,0
323,33,2025-04-19,EVE,MCI,0,2
324,33,2025-04-19,WHU,SOU,1,1
325,33,2025-04-20,FUL,CHE,1,2
326,33,2025-04-20,IPS,ARS,0,4
327,33,2025-04-20,LEI,LIV,0,1
328,33,2025-04-20,MUN,WOL,0,1
329,33,2025-04-21,TOT,NFO,1,2
330,34,2025-04-22,MCI,AVL,2,1
331,34,2025-04-23,ARS,CRY,2,2
332,34,2025-04-26,BHA,WHU,3,2
333,34,2025-04-26,CHE,EVE,1,0
334,34,2025-04-26,NEW,IPS,3,0
335,34,2025-04-26,SOU,FUL,1,2
336,34,2025-04-26,WOL,LEI,3,0
337,34,2025-04-27,BOU,MUN,1,1
338,34,2025-04-27,LIV,TOT,5,1
339,34,2025-05-01,NFO,BRE,0,2
340,35,2025-05-02,MCI,WOL,1,0
341,35,2025-05-03,ARS,BOU,1,2
342,35,2025-05-03,AVL,FUL,1,0
343,35,2025-05-03,EVE,IPS,2,2
344,35,2025-05-03,LEI,SOU,2,0
345,35,2025-05-04,BRE,MUN,4,3
346,35,2025-05-04,BHA,NEW,1,1
347,35,2025-05-04,CHE,LIV,3,1
348,35,2025-05-04,WHU,TOT,1,1
349,35,2025-05-05,CRY,NFO,1,1
350,36,2025-05-10,BOU,AVL,0,1
351,36,2025-05-10,FUL,EVE,1,3
352,36,2025-05-10,IPS,BRE,0,1
353,36,2025-05-10,SOU,MCI,0,0
354,36,2025-05-10,WOL,BHA,0,2
355,36,2025-05-11,LIV,ARS,2,2
356,36,2025-05-11,MUN,WHU,0,2
357,36,2025-05-11,NEW,CHE,2,0
358,36,2025-05-11,NFO,LEI,2,2
359,36,2025-05-11,TOT,CRY,0,2
360,37,2025-05-16,AVL,TOT,2,0
361,37,2025-05-16,CHE,MUN,1,0
362,37,2025-05-18,ARS,NEW,1,0
363,37,2025-05-18,BRE,FUL,2,3
364,37,2025-05-18,EVE,SOU,2,0
365,37,2025-05-18,LEI,IPS,2,0
366,37,2025-05-18,WHU,NFO,1,2
367,37,2025-05-19,BHA,LIV,3,2
368,37,2025-05-20,CRY,WOL,4,2
369,37,2025-05-20,MCI,BOU,3,1
370,38,2025-05-25,BOU,LEI,2,0
371,38,2025-05-25,FUL,MCI,0,2
372,38,2025-05-25,IPS,WHU,1,3
373,38,2025-05-25,LIV,CRY,1,1
374,38,2025-05-25,MUN,AVL,2,0
375,38,2025-05-25,NEW,EVE,0,1
376,38,2025-05-25,NFO,CHE,0,1
377,38,2025-05-25,SOU,ARS,1,2
378,38,2025-05-25,TOT,BHA,1,4
379,38,2025-05-25,WOL,BRE,1,1
